"","year","season","month","site","treatment","plot_id","individual_nr","id","functional_group","family","taxon","burn_year","elevation","latitude","longitude","course","csr_strategy","s_percent","c_percent","r_percent","trait","value"
"12",2020,"wet_season","March","ACJ","C",1,1,"BIP2743","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"plant_height_cm",13
"13",2020,"wet_season","March","ACJ","C",1,1,"BIP2743","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"sla_cm2_g",NA
"14",2020,"wet_season","March","ACJ","C",1,1,"BIP2743","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"wet_mass_g",NA
"15",2018,"wet_season","March","ACJ","C",1,2,"GNQ1890","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"dry_mass_g",NA
"16",2018,"wet_season","March","ACJ","C",1,2,"GNQ1890","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"ldmc",0.42654028436019
"17",2018,"wet_season","March","ACJ","C",1,2,"GNQ1890","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"leaf_area_cm2",NA
"18",2018,"wet_season","March","ACJ","C",1,2,"GNQ1890","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"leaf_thickness_mm",NA
"19",2018,"wet_season","March","ACJ","C",1,2,"GNQ1890","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"plant_height_cm",NA
"20",2018,"wet_season","March","ACJ","C",1,2,"GNQ1890","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"sla_cm2_g",23.5165876777251
"21",2018,"wet_season","March","ACJ","C",1,2,"GNQ1890","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"wet_mass_g",NA
"22",2020,"wet_season","March","ACJ","C",1,2,"BFS6331","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"dry_mass_g",NA
"23",2020,"wet_season","March","ACJ","C",1,2,"BFS6331","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"ldmc",NA
"24",2020,"wet_season","March","ACJ","C",1,2,"BFS6331","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"leaf_area_cm2",NA
"25",2020,"wet_season","March","ACJ","C",1,2,"BFS6331","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"leaf_thickness_mm",0.274333333333333
"26",2020,"wet_season","March","ACJ","C",1,2,"BFS6331","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"plant_height_cm",18.9
"27",2020,"wet_season","March","ACJ","C",1,2,"BFS6331","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"sla_cm2_g",NA
"28",2020,"wet_season","March","ACJ","C",1,2,"BFS6331","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"wet_mass_g",NA
"29",2018,"wet_season","March","ACJ","C",1,3,"GNR1554","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"dry_mass_g",NA
"30",2018,"wet_season","March","ACJ","C",1,3,"GNR1554","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"ldmc",0.465201465201465
"31",2018,"wet_season","March","ACJ","C",1,3,"GNR1554","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"leaf_area_cm2",NA
"32",2018,"wet_season","March","ACJ","C",1,3,"GNR1554","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"leaf_thickness_mm",NA
"33",2018,"wet_season","March","ACJ","C",1,3,"GNR1554","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"plant_height_cm",NA
"34",2018,"wet_season","March","ACJ","C",1,3,"GNR1554","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"sla_cm2_g",26.6117216117216
"35",2018,"wet_season","March","ACJ","C",1,3,"GNR1554","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"wet_mass_g",NA
"36",2020,"wet_season","March","ACJ","C",1,3,"BIT3931","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"dry_mass_g",NA
"37",2020,"wet_season","March","ACJ","C",1,3,"BIT3931","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"ldmc",NA
"38",2020,"wet_season","March","ACJ","C",1,3,"BIT3931","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"leaf_area_cm2",NA
"39",2020,"wet_season","March","ACJ","C",1,3,"BIT3931","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"leaf_thickness_mm",0.282
"40",2020,"wet_season","March","ACJ","C",1,3,"BIT3931","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"plant_height_cm",33.5
"41",2020,"wet_season","March","ACJ","C",1,3,"BIT3931","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"sla_cm2_g",NA
"42",2020,"wet_season","March","ACJ","C",1,3,"BIT3931","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"wet_mass_g",NA
"43",2018,"wet_season","March","ACJ","C",1,4,"GOB3913","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"dry_mass_g",NA
"44",2018,"wet_season","March","ACJ","C",1,4,"GOB3913","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"ldmc",0.425587467362924
"45",2018,"wet_season","March","ACJ","C",1,4,"GOB3913","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"leaf_area_cm2",NA
"46",2018,"wet_season","March","ACJ","C",1,4,"GOB3913","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"leaf_thickness_mm",0.258333333333333
"47",2018,"wet_season","March","ACJ","C",1,4,"GOB3913","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"plant_height_cm",24
"48",2018,"wet_season","March","ACJ","C",1,4,"GOB3913","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"sla_cm2_g",21.5953002610966
"49",2018,"wet_season","March","ACJ","C",1,4,"GOB3913","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"wet_mass_g",NA
"50",2019,"wet_season","April","ACJ","C",1,1,"HEE5289","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"dry_mass_g",0.256
"51",2019,"wet_season","April","ACJ","C",1,1,"HEE5289","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"ldmc",0.350684931506849
"52",2019,"wet_season","April","ACJ","C",1,1,"HEE5289","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"leaf_area_cm2",26.3079
"53",2019,"wet_season","April","ACJ","C",1,1,"HEE5289","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"leaf_thickness_mm",0.331333333333333
"54",2019,"wet_season","April","ACJ","C",1,1,"HEE5289","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"plant_height_cm",57
"55",2019,"wet_season","April","ACJ","C",1,1,"HEE5289","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"sla_cm2_g",102.765234375
"56",2019,"wet_season","April","ACJ","C",1,1,"HEE5289","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"wet_mass_g",0.73
"57",2019,"wet_season","April","ACJ","C",1,2,"HEF3510","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"dry_mass_g",0.137
"58",2019,"wet_season","April","ACJ","C",1,2,"HEF3510","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"ldmc",0.314220183486239
"59",2019,"wet_season","April","ACJ","C",1,2,"HEF3510","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"leaf_area_cm2",15.914
"60",2019,"wet_season","April","ACJ","C",1,2,"HEF3510","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"leaf_thickness_mm",0.259333333333333
"61",2019,"wet_season","April","ACJ","C",1,2,"HEF3510","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"plant_height_cm",60
"62",2019,"wet_season","April","ACJ","C",1,2,"HEF3510","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"sla_cm2_g",116.160583941606
"63",2019,"wet_season","April","ACJ","C",1,2,"HEF3510","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"wet_mass_g",0.436
"64",2019,"dry_season","November","ACJ","C",1,3,"IMY3627","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"dry_mass_g",0.086
"65",2019,"dry_season","November","ACJ","C",1,3,"IMY3627","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"ldmc",0.447916666666667
"66",2019,"dry_season","November","ACJ","C",1,3,"IMY3627","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"leaf_area_cm2",6.4469
"67",2019,"dry_season","November","ACJ","C",1,3,"IMY3627","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"leaf_thickness_mm",0.300333333333333
"68",2019,"dry_season","November","ACJ","C",1,3,"IMY3627","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"plant_height_cm",23
"69",2019,"dry_season","November","ACJ","C",1,3,"IMY3627","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"sla_cm2_g",74.9639534883721
"70",2019,"dry_season","November","ACJ","C",1,3,"IMY3627","Graminoid","Poaceae","Bromus lanatus",NA,3487.4,-13.176034,-71.628828,"Puna","S/CS",80.5859119572667,19.4140880427333,0,"wet_mass_g",0.192
"71",2019,"dry_season","November","ACJ","C",1,1,"IWK4935","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"dry_mass_g",0.045
"72",2019,"dry_season","November","ACJ","C",1,1,"IWK4935","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"ldmc",0.412844036697248
"73",2019,"dry_season","November","ACJ","C",1,1,"IWK4935","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"leaf_area_cm2",3.513
"74",2019,"dry_season","November","ACJ","C",1,1,"IWK4935","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"leaf_thickness_mm",0.445333333333333
"75",2019,"dry_season","November","ACJ","C",1,1,"IWK4935","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"plant_height_cm",54
"76",2019,"dry_season","November","ACJ","C",1,1,"IWK4935","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"sla_cm2_g",78.0666666666667
"77",2019,"dry_season","November","ACJ","C",1,1,"IWK4935","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"wet_mass_g",0.109
"78",2019,"dry_season","November","ACJ","C",1,2,"IWE5500","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"dry_mass_g",0.071
"79",2019,"dry_season","November","ACJ","C",1,2,"IWE5500","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"ldmc",0.612068965517241
"80",2019,"dry_season","November","ACJ","C",1,2,"IWE5500","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"leaf_area_cm2",3.6549
"81",2019,"dry_season","November","ACJ","C",1,2,"IWE5500","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"leaf_thickness_mm",0.404666666666667
"82",2019,"dry_season","November","ACJ","C",1,2,"IWE5500","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"plant_height_cm",51
"83",2019,"dry_season","November","ACJ","C",1,2,"IWE5500","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"sla_cm2_g",51.4774647887324
"84",2019,"dry_season","November","ACJ","C",1,2,"IWE5500","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"wet_mass_g",0.116
"85",2019,"dry_season","November","ACJ","C",1,3,"IVY5998","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"dry_mass_g",0.065
"86",2019,"dry_season","November","ACJ","C",1,3,"IVY5998","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"ldmc",0.565217391304348
"87",2019,"dry_season","November","ACJ","C",1,3,"IVY5998","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"leaf_area_cm2",3.4592
"88",2019,"dry_season","November","ACJ","C",1,3,"IVY5998","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"leaf_thickness_mm",0.445
"89",2019,"dry_season","November","ACJ","C",1,3,"IVY5998","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"plant_height_cm",48.5
"90",2019,"dry_season","November","ACJ","C",1,3,"IVY5998","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"sla_cm2_g",53.2184615384615
"91",2019,"dry_season","November","ACJ","C",1,3,"IVY5998","Graminoid","Poaceae","Calamagrostis cf. amoena",NA,3487.4,-13.176034,-71.628828,"Puna","S",90.8940400584331,9.10595994156686,0,"wet_mass_g",0.115
"92",2018,"wet_season","March","ACJ","C",1,1,"DJC2934","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"dry_mass_g",0.013
"93",2018,"wet_season","March","ACJ","C",1,1,"DJC2934","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"ldmc",0.448275862068965
"94",2018,"wet_season","March","ACJ","C",1,1,"DJC2934","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"leaf_area_cm2",0.7745
"95",2018,"wet_season","March","ACJ","C",1,1,"DJC2934","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"leaf_thickness_mm",0.419
"96",2018,"wet_season","March","ACJ","C",1,1,"DJC2934","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"plant_height_cm",47
"97",2018,"wet_season","March","ACJ","C",1,1,"DJC2934","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"sla_cm2_g",26.7068965517241
"98",2018,"wet_season","March","ACJ","C",1,1,"DJC2934","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"wet_mass_g",0.029
"99",2018,"wet_season","March","ACJ","C",1,2,"EQX6665","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"dry_mass_g",0.0296666666666667
"100",2018,"wet_season","March","ACJ","C",1,2,"EQX6665","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"ldmc",0.494444444444444
"101",2018,"wet_season","March","ACJ","C",1,2,"EQX6665","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"leaf_area_cm2",1.34833333333333
"102",2018,"wet_season","March","ACJ","C",1,2,"EQX6665","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"leaf_thickness_mm",0.460666666666667
"103",2018,"wet_season","March","ACJ","C",1,2,"EQX6665","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"plant_height_cm",68
"104",2018,"wet_season","March","ACJ","C",1,2,"EQX6665","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"sla_cm2_g",22.4722222222222
"105",2018,"wet_season","March","ACJ","C",1,2,"EQX6665","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"wet_mass_g",0.06
"106",2018,"wet_season","March","ACJ","C",1,3,"DIM3696","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"dry_mass_g",0.051
"107",2018,"wet_season","March","ACJ","C",1,3,"DIM3696","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"ldmc",0.467889908256881
"108",2018,"wet_season","March","ACJ","C",1,3,"DIM3696","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"leaf_area_cm2",1.4965
"109",2018,"wet_season","March","ACJ","C",1,3,"DIM3696","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"leaf_thickness_mm",0.495
"110",2018,"wet_season","March","ACJ","C",1,3,"DIM3696","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"plant_height_cm",61
"111",2018,"wet_season","March","ACJ","C",1,3,"DIM3696","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"sla_cm2_g",13.7293577981651
"112",2018,"wet_season","March","ACJ","C",1,3,"DIM3696","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"wet_mass_g",0.109
"113",2018,"wet_season","March","ACJ","C",1,4,"DIS0103","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"dry_mass_g",0.0355
"114",2018,"wet_season","March","ACJ","C",1,4,"DIS0103","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"ldmc",0.425149700598802
"115",2018,"wet_season","March","ACJ","C",1,4,"DIS0103","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"leaf_area_cm2",1.8015
"116",2018,"wet_season","March","ACJ","C",1,4,"DIS0103","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"leaf_thickness_mm",0.442666666666667
"117",2018,"wet_season","March","ACJ","C",1,4,"DIS0103","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"plant_height_cm",65
"118",2018,"wet_season","March","ACJ","C",1,4,"DIS0103","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"sla_cm2_g",21.5748502994012
"119",2018,"wet_season","March","ACJ","C",1,4,"DIS0103","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"wet_mass_g",0.0835
"120",2018,"wet_season","March","ACJ","C",1,5,"DIU7397","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"dry_mass_g",0.025
"121",2018,"wet_season","March","ACJ","C",1,5,"DIU7397","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"ldmc",0.537634408602151
"122",2018,"wet_season","March","ACJ","C",1,5,"DIU7397","Graminoid","Poaceae","Calamagrostis tarmensis",NA,3487.4,-13.176034,-71.628828,"PFTC3","S",92.1538095924936,7.84619040750638,0,"leaf_area_cm2",1.3005
