"country","project","id","year","month","date","site","treatment","plot_id","functional_group","family","name_2020","genus","species","individual_nr","plant_height_cm","nr_leaves","bulk","wet_mass_total_g","leaf_thickness_1_mm","leaf_thickness_2_mm","leaf_thickness_3_mm","dry_mass_total_g","number_leaves_scan","leaf_area_total_cm2","wet_mass_g","dry_mass_g","leaf_area_cm2","sla_cm2_g","ldmc","leaf_thickness_ave_mm","area_flag","dry_flag","wet_flag"
"PE","PFTC5","ATK1879",2020,"March","2020-03-12","ACJ","C",4,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",2,9.5,3,NA,0.072,0.262,0.256,NA,0.016,1,2.385,0.024,0.00533333333333333,0.795,149.0625,0.222222222222222,0.259,NA,NA,NA
"PE","PFTC5","ADJ9799",2020,"March","2020-03-12","ACJ","C",2,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,6.5,5,NA,0.11,0.281,0.26,NA,0.0396,2,2.521,0.022,0.00792,0.5042,63.6616161616162,0.36,0.2705,NA,NA,NA
"PE","PFTC5","AES2395",2020,"March","2020-03-12","ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",3,4,3,NA,0.051,0.249,0.25,NA,0.0142,1,1.59,0.017,0.00473333333333333,0.53,111.971830985916,0.27843137254902,0.2495,NA,NA,NA
"PE","PFTC5","AVV3560",2020,"March","2020-03-12","ACJ","C",2,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,9,2,NA,0.159,0.298,0.291,NA,0.0461,7,3.425,0.0795,0.02305,1.7125,74.295010845987,0.289937106918239,0.2945,NA,NA,NA
"PE","PFTC5","ADI7562",2020,"March","2020-03-12","ACJ","C",2,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,6.5,4,NA,0.133,0.273,0.305,NA,0.047,2,4.051,0.03325,0.01175,1.01275,86.1914893617021,0.353383458646617,0.289,NA,NA,NA
"PE","PFTC5","AUB2849",2020,"March","2020-03-12","ACJ","C",3,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",3,18,4,NA,0.066,0.219,0.215,NA,0.0132,1,2.529,0.0165,0.0033,0.63225,191.590909090909,0.2,0.217,NA,NA,NA
"PE","PFTC5","AEV1251",2020,"March","2020-03-12","ACJ","C",4,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",3,18,5,NA,0.068,0.216,0.22,NA,0.0148,1,2.334,0.0136,0.00296,0.4668,157.702702702703,0.217647058823529,0.218,NA,NA,NA
"PE","PFTC5","ATX9292",2020,"March","2020-03-12","ACJ","C",1,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,6.5,NA,NA,0.042,0.282,0.293,NA,0.0102,1,1.229,NA,NA,NA,NA,NA,0.2875,NA,NA,NA
"PE","PFTC5","ATJ5219",2020,"March","2020-03-12","ACJ","C",1,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,6.5,NA,NA,0.047,0.249,0.247,NA,0.0119,1,1.311,NA,NA,NA,NA,NA,0.248,NA,NA,NA
"PE","PFTC5","AAH3401",2020,"March","2020-03-12","ACJ","C",1,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,6.5,NA,NA,0.029,0.22,0.23,NA,0.0084,1,1.219,NA,NA,NA,NA,NA,0.225,NA,NA,NA
"PE","PFTC5","ATS6341",2020,"March","2020-03-12","ACJ","C",4,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",3,18,1,NA,0.068,0.21,0.208,NA,0.0159,1,2.475,0.068,0.0159,2.475,155.660377358491,0.233823529411765,0.209,NA,NA,NA
"PE","PFTC5","AVA2500",2020,"March","2020-03-12","ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,7,5,NA,0.132,0.368,0.326,NA,0.0433,2,3.733,0.0264,0.00866,0.7466,86.2124711316397,0.328030303030303,0.347,NA,NA,NA
"PE","PFTC5","ABG6775",2020,"March","2020-03-12","ACJ","C",3,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",3,9.6,2,NA,0.032,0.193,0.211,0.225,0.0076,1,1.167,0.016,0.0038,0.5835,153.552631578947,0.2375,0.209666666666667,NA,NA,NA
"PE","PFTC5","ACE7565",2020,"March","2020-03-12","ACJ","C",3,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",3,9.6,1,NA,0.052,0.253,0.268,NA,0.0137,1,1.592,0.052,0.0137,1.592,116.204379562044,0.263461538461538,0.2605,NA,NA,NA
"PE","PFTC5","ADP7756",2020,"March","2020-03-12","ACJ","C",1,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",2,11.8,1,NA,0.088,0.232,0.264,0.262,0.0235,1,2.716,0.088,0.0235,2.716,115.574468085106,0.267045454545455,0.252666666666667,NA,NA,NA
"PE","PFTC5","ABK6774",2020,"March","2020-03-12","ACJ","C",1,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",2,10.8,4,NA,0.075,0.267,0.267,NA,0.0198,1,2.461,0.01875,0.00495,0.61525,124.292929292929,0.264,0.267,NA,NA,NA
"PE","PFTC5","AVM7408",2020,"March","2020-03-12","ACJ","C",5,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,7.3,1,NA,0.062,0.205,0.224,0.242,0.0156,1,2.212,0.062,0.0156,2.212,141.794871794872,0.251612903225806,0.223666666666667,NA,NA,NA
"PE","PFTC5","AVO3151",2020,"March","2020-03-12","ACJ","C",5,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,7.3,3,NA,0.061,0.222,0.237,0.242,0.0154,2,2.24,0.0203333333333333,0.00513333333333333,0.746666666666667,145.454545454545,0.252459016393443,0.233666666666667,NA,NA,NA
"PE","PFTC5","ABI2402",2020,"March","2020-03-12","ACJ","C",3,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",3,9.6,5,NA,0.034,0.202,0.212,0.221,0.015,1,0.978,0.0068,0.003,0.1956,65.2,0.441176470588235,0.211666666666667,NA,NA,NA
"PE","PFTC5","AIG2220",2020,"March","2020-03-12","ACJ","C",5,"Fern","Pteridaceae","Eriosorus cheilanthoides","Eriosorus","cheilanthoides",2,36.7,NA,NA,0.72,0.369,0.407,0.271,0.1657,1,14.787,NA,NA,NA,NA,NA,0.349,NA,NA,NA
"PE","PFTC5","AIF7328",2020,"March","2020-03-12","ACJ","C",5,"Fern","Pteridaceae","Eriosorus cheilanthoides","Eriosorus","cheilanthoides",1,35.3,NA,NA,0.814,0.356,0.297,0.308,0.1965,4,19.624,NA,NA,NA,NA,NA,0.320333333333333,NA,NA,NA
"PE","PFTC5","BIU3645",2020,"March","2020-03-12","ACJ","C",4,"Woody","Ericaceae","Gaultheria glomerata","Gaultheria","glomerata",3,10,5,NA,0.067,0.633,0.564,0.47,0.0282,1,1.37,0.0134,0.00564,0.274,48.5815602836879,0.42089552238806,0.555666666666667,NA,NA,NA
"PE","PFTC5","BIA2849",2020,"March","2020-03-12","ACJ","C",4,"Woody","Ericaceae","Gaultheria glomerata","Gaultheria","glomerata",3,10,1,NA,0.172,0.545,0.557,0.603,0.075,1,3.975,0.172,0.075,3.975,53,0.436046511627907,0.568333333333333,NA,NA,NA
"PE","PFTC5","BIQ0144",2020,"March","2020-03-12","ACJ","C",3,"Woody","Ericaceae","Gaultheria glomerata","Gaultheria","glomerata",1,19.4,2,NA,0.221,0.569,0.583,0.558,0.098,1,5.24,0.1105,0.049,2.62,53.469387755102,0.443438914027149,0.57,NA,NA,NA
"PE","PFTC5","BIV5629",2020,"March","2020-03-12","ACJ","C",3,"Woody","Ericaceae","Gaultheria glomerata","Gaultheria","glomerata",1,19.4,1,NA,0.245,0.676,0.747,0.645,0.1092,1,5.101,0.245,0.1092,5.101,46.7124542124542,0.445714285714286,0.689333333333333,NA,NA,NA
"PE","PFTC5","AIH7326",2020,"March","2020-03-12","ACJ","C",5,"Fern","Pteridaceae","Eriosorus cheilanthoides","Eriosorus","cheilanthoides",3,42,NA,NA,1.001,0.631,0.523,0.337,0.2546,4,14.359,NA,NA,NA,NA,NA,0.497,NA,NA,NA
"PE","PFTC5","BHW0704",2020,"March","2020-03-12","ACJ","C",3,"Woody","Ericaceae","Gaultheria glomerata","Gaultheria","glomerata",2,4.6,2,NA,0.149,0.559,0.54,0.56,0.0656,1,3.869,0.0745,0.0328,1.9345,58.9786585365854,0.440268456375839,0.553,NA,NA,NA
"PE","PFTC5","AXA3752",2020,"March","2020-03-12","ACJ","C",4,"Woody","Ericaceae","Pernettya prostrata","Pernettya","prostrata",2,37,NA,"5",0.072,0.561,0.477,0.522,0.0298,7,1.958,NA,NA,NA,NA,NA,0.52,NA,NA,NA
"PE","PFTC5","BXN4458",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Cyperaceae","Carex pichinchensis","Carex","pichinchensis",4,10.9,NA,NA,0.13,0.236,0.23,0.195,0.0528,1,6.157,NA,NA,NA,NA,NA,0.220333333333333,NA,NA,NA
"PE","PFTC5","BXB4580",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Cyperaceae","Carex pichinchensis","Carex","pichinchensis",1,10.2,NA,NA,0.116,0.254,0.214,0.239,0.0537,1,6.095,NA,NA,NA,NA,NA,0.235666666666667,NA,NA,NA
"PE","PFTC5","AXS7546",2020,"March","2020-03-12","QUE","BB",2,"Woody","Ericaceae","Vaccinium floribundum","Vaccinium","floribundum",4,1.8,NA,"5",0.042,0.431,0.475,0.417,0.0161,8,1.279,NA,NA,NA,NA,NA,0.441,NA,NA,NA
"PE","PFTC5","BXJ8297",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Cyperaceae","Carex pichinchensis","Carex","pichinchensis",3,9.5,NA,NA,0.134,0.254,0.233,0.236,0.0511,5,5.976,NA,NA,NA,NA,NA,0.241,NA,NA,NA
"PE","PFTC5","AHF0820",2020,"March","2020-03-12","QUE","BB",1,"Gramminoid","Poaceae","Poa spicigera","Poa","spicigera",5,5.4,NA,"3",0.022,0.268,0.294,0.256,0.0074,3,1.136,NA,NA,NA,NA,NA,0.272666666666667,NA,NA,NA
"PE","PFTC5","AIK3112",2020,"March","2020-03-12","QUE","BB",4,"Gramminoid","Cyperaceae","Rhynchospora macrochaeta","Rhynchospora","macrochaeta",1,13.2,NA,NA,0.141,0.253,0.235,0.196,0.56,1,4.43,NA,NA,NA,NA,NA,0.228,NA,NA,NA
"PE","PFTC5","AZC5871",2020,"March","2020-03-12","QUE","BB",1,"Gramminoid","Poaceae","Poa spicigera","Poa","spicigera",3,6.6,NA,"3",0.013,0.195,0.205,0.189,0.0058,3,0.866,NA,NA,NA,NA,NA,0.196333333333333,NA,NA,NA
"PE","PFTC5","AZB8052",2020,"March","2020-03-12","QUE","BB",1,"Gramminoid","Poaceae","Poa spicigera","Poa","spicigera",2,11.3,NA,"3",0.021,0.198,0.159,0.141,0.006,3,1.066,NA,NA,NA,NA,NA,0.166,NA,NA,NA
"PE","PFTC5","AJX5756",2020,"March","2020-03-12","QUE","BB",1,"Forb","Asteraceae","Gamochaeta coarctata","Gamochaeta","coarctata",1,6.5,NA,"2",0.041,0.15,0.223,0.234,0.0085,2,1.835,NA,NA,NA,NA,NA,0.202333333333333,NA,NA,NA
"PE","PFTC5","BXW5713",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Poaceae","Festuca sp4","Festuca","sp4",2,19,NA,NA,0.101,0.426,0.47,0.446,0.0419,4,1.831,NA,NA,NA,NA,NA,0.447333333333333,NA,NA,NA
"PE","PFTC5","BXV7981",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Poaceae","Festuca sp4","Festuca","sp4",1,18,NA,NA,0.089,0.665,0.677,0.722,0.0424,5,1.697,NA,NA,NA,NA,NA,0.688,NA,NA,NA
"PE","PFTC5","BXA4854",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Poaceae","Festuca sp4","Festuca","sp4",3,18,NA,NA,0.086,0.587,0.541,0.632,0.0391,4,1.477,NA,NA,NA,NA,NA,0.586666666666667,NA,NA,NA
"PE","PFTC5","AFN3047",2020,"March","2020-03-12","QUE","BB",2,"Gramminoid","Poaceae","Agrostis trichodes","Agrostis","trichodes",2,5,NA,"9",0.029,0.157,0.134,0.127,0.0178,11,2.041,NA,NA,NA,NA,NA,0.139333333333333,NA,NA,NA
"PE","PFTC5","BVC5384",2020,"March","2020-03-12","QUE","BB",4,"Gramminoid","Poaceae","Anatherostipa hans-meyeri","Anatherostipa","hans-meyeri",1,7,NA,"4",0.043,0.29,0.257,0.296,0.0168,4,1.114,NA,NA,NA,NA,NA,0.281,NA,NA,NA
"PE","PFTC5","AZE5327",2020,"March","2020-03-12","QUE","BB",2,"Forb","Asteraceae","Antennaria linearifolia","Antennaria","linearifolia",1,1,NA,"3",0.052,0.186,0.226,0.191,0.0163,7,1.293,NA,NA,NA,NA,NA,0.201,"Leaf too white_Area missing",NA,NA
"PE","PFTC5","BDL4865",2020,"March","2020-03-12","QUE","BB",1,"Woody","Asteraceae","Baccharis caespitosa","Baccharis","caespitosa",1,1.3,NA,"10",0.019,0.119,0.3,0.248,0.0075,11,0.722,NA,NA,NA,NA,NA,0.222333333333333,NA,NA,NA
"PE","PFTC5","BBU6966",2020,"March","2020-03-12","QUE","BB",2,"Woody","Asteraceae","Baccharis caespitosa","Baccharis","caespitosa",2,0.7,NA,"10",0.017,0.261,0.223,0.263,0.0078,14,0.67,NA,NA,NA,NA,NA,0.249,NA,NA,NA
"PE","PFTC5","BJQ7085",2020,"March","2020-03-12","QUE","BB",3,"Forb","Asteraceae","Aphanactis villosa","Aphanactis","villosa",1,1.1,NA,"6",0.15,0.189,0.214,0.165,0.0123,7,3.857,NA,NA,NA,NA,NA,0.189333333333333,NA,NA,NA
"PE","PFTC5","BKK5041",2020,"March","2020-03-12","QUE","BB",1,"Forb","Oxalidaceae","Oxalis oreocharis","Oxalis","oreocharis",3,4,NA,"3",0.062,0.244,0.266,0.236,0.0085,5,1.578,NA,NA,NA,NA,NA,0.248666666666667,NA,NA,NA
"PE","PFTC5","AIS5021",2020,"March","2020-03-12","QUE","BB",1,"Forb","Oxalidaceae","Oxalis oreocharis","Oxalis","oreocharis",2,5,NA,"3",0.046,0.204,0.204,0.194,0.072,4,1.203,NA,NA,NA,NA,NA,0.200666666666667,NA,NA,NA
"PE","PFTC5","BUI3314",2020,"March","2020-03-12","QUE","BB",1,"Gramminoid","Juncaceae","Luzula racemosa","Luzula","racemosa",2,7.8,NA,"3",0.07,0.239,0.264,0.258,0.0252,3,0.855,NA,NA,NA,NA,NA,0.253666666666667,NA,NA,NA
"PE","PFTC5","BVH0912",2020,"March","2020-03-12","QUE","BB",1,"Gramminoid","Poaceae","Agrostis foliata","Agrostis","foliata",2,10,NA,"2",0.023,0.184,0.209,0.163,0.0084,2,1.913,NA,NA,NA,NA,NA,0.185333333333333,NA,NA,NA
"PE","PFTC5","BVD4631",2020,"March","2020-03-12","QUE","BB",1,"Gramminoid","Poaceae","Agrostis foliata","Agrostis","foliata",3,12,NA,NA,0.018,0.153,0.164,0.151,0.0059,1,1.615,NA,NA,NA,NA,NA,0.156,NA,NA,NA
"PE","PFTC5","ABF2214",2020,"March","2020-03-12","ACJ","C",3,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",2,8.8,5,NA,0.069,0.297,0.304,0.315,0.0143,1,2.294,0.0138,0.00286,0.4588,160.41958041958,0.207246376811594,0.305333333333333,NA,NA,NA
"PE","PFTC5","AVR0480",2020,"March","2020-03-12","ACJ","C",4,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,2,4,NA,0.12,0.266,0.263,NA,0.037,2,3.106,0.03,0.00925,0.7765,83.945945945946,0.308333333333333,0.2645,NA,NA,NA
"PE","PFTC5","ACY7408",2020,"March","2020-03-12","ACJ","C",4,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,2,2,NA,0.15,0.308,0.324,0.299,0.0465,1,3.602,0.075,0.02325,1.801,77.4623655913978,0.31,0.310333333333333,NA,NA,NA
"PE","PFTC5","ATI0785",2020,"March","2020-03-12","ACJ","C",2,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",3,3,4,NA,0.064,0.294,0.253,NA,0.0224,4,1.393,0.016,0.0056,0.34825,62.1875,0.35,0.2735,NA,NA,NA
"PE","PFTC5","AED4690",2020,"March","2020-03-12","ACJ","C",2,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",3,5.3,2,NA,0.042,0.282,0.292,0.255,0.011,1,1.231,0.021,0.0055,0.6155,111.909090909091,0.261904761904762,0.276333333333333,NA,NA,NA
"PE","PFTC5","ACB4434",2020,"March","2020-03-12","ACJ","C",2,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",3,5.3,1,NA,0.033,0.271,0.289,0.301,0.088,2,1.014,0.033,0.088,1.014,11.5227272727273,2.66666666666667,0.287,NA,NA,NA
"PE","PFTC5","AUI4797",2020,"March","2020-03-12","ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,9,2,NA,0.218,0.342,0.277,0.252,0.0543,4,5.037,0.109,0.02715,2.5185,92.7624309392265,0.249082568807339,0.290333333333333,NA,NA,NA
"PE","PFTC5","AHB7381",2020,"March","2020-03-12","ACJ","C",4,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,9,1,NA,0.045,0.259,0.252,0.227,0.0097,1,1.86,0.045,0.0097,1.86,191.752577319588,0.215555555555556,0.246,NA,NA,NA
"PE","PFTC5","AUK0888",2020,"March","2020-03-12","ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,9,4,NA,0.189,0.348,0.303,0.332,0.0489,3,4.771,0.04725,0.012225,1.19275,97.5664621676892,0.258730158730159,0.327666666666667,NA,NA,NA
"PE","PFTC5","ADD1710",2020,"March","2020-03-12","ACJ","C",4,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,9,2,NA,0.065,0.239,0.236,0.223,0.0147,1,1.914,0.0325,0.00735,0.957,130.204081632653,0.226153846153846,0.232666666666667,NA,NA,NA
"PE","PFTC5","AUJ3901",2020,"March","2020-03-12","ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,9,5,NA,0.222,0.27,0.292,0.313,0.0554,3,4.462,0.0444,0.01108,0.8924,80.5415162454874,0.24954954954955,0.291666666666667,NA,NA,NA
"PE","PFTC5","AVD9454",2020,"March","2020-03-12","ACJ","C",4,"Fern","Dryopteridaceae","Elaphoglossum huacsaro","Elaphoglossum","huacsaro",3,17,1,NA,0.46,0.463,0.46,0.467,0.1686,1,9.392,0.46,0.1686,9.392,55.70581257414,0.366521739130435,0.463333333333333,NA,NA,NA
"PE","PFTC5","ADG5889",2020,"March","2020-03-12","ACJ","C",2,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,6.5,2,NA,0.13,0.308,0.296,0.317,0.0527,1,4.072,0.065,0.02635,2.036,77.2675521821632,0.405384615384615,0.307,NA,NA,NA
"PE","PFTC5","AWE4726",2020,"March","2020-03-12","ACJ","C",4,"Fern","Dryopteridaceae","Elaphoglossum huacsaro","Elaphoglossum","huacsaro",2,18,1,NA,0.656,0.401,0.476,0.456,0.2094,1,12.472,0.656,0.2094,12.472,59.5606494746896,0.319207317073171,0.444333333333333,NA,NA,NA
"PE","PFTC5","ADH8686",2020,"March","2020-03-12","ACJ","C",2,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,6.5,3,NA,0.167,0.313,0.309,0.298,0.055,1,5.298,0.0556666666666667,0.0183333333333333,1.766,96.3272727272727,0.329341317365269,0.306666666666667,NA,NA,NA
"PE","PFTC5","AAQ9095",2020,"March","2020-03-12","ACJ","C",2,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,22.5,5,NA,0.034,0.162,0.195,0.2,0.0089,1,1.286,0.0068,0.00178,0.2572,144.494382022472,0.261764705882353,0.185666666666667,NA,NA,NA
"PE","PFTC5","AEH3515",2020,"March","2020-03-12","ACJ","C",3,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,11.2,5,NA,0.075,0.223,0.208,0.208,0.0213,1,3.01,0.015,0.00426,0.602,141.31455399061,0.284,0.213,NA,NA,NA
"PE","PFTC5","AEG5038",2020,"March","2020-03-12","ACJ","C",3,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,11.2,4,NA,0.101,0.238,0.235,0.215,0.0288,1,3.819,0.02525,0.0072,0.95475,132.604166666667,0.285148514851485,0.229333333333333,NA,NA,NA
"PE","PFTC5","AEA4811",2020,"March","2020-03-12","ACJ","C",3,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,6.4,2,NA,0.055,0.276,0.279,0.317,0.0127,1,1.864,0.0275,0.00635,0.932,146.771653543307,0.230909090909091,0.290666666666667,NA,NA,NA
"PE","PFTC5","ACV7342",2020,"March","2020-03-12","ACJ","C",4,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,8,4,NA,0.254,0.309,0.244,0.28,0.07,4,6.176,0.0635,0.0175,1.544,88.2285714285714,0.275590551181102,0.277666666666667,NA,NA,NA
"PE","PFTC5","AAK1305",2020,"March","2020-03-12","ACJ","C",3,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,6.4,3,NA,0.057,0.265,0.277,0.273,0.0131,1,1.916,0.019,0.00436666666666667,0.638666666666667,146.259541984733,0.229824561403509,0.271666666666667,NA,NA,NA
"PE","PFTC5","ACZ6300",2020,"March","2020-03-12","ACJ","C",4,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,8,3,NA,0.272,0.308,0.299,0.303,0.0742,3,6.333,0.0906666666666667,0.0247333333333333,2.111,85.3504043126685,0.272794117647059,0.303333333333333,NA,NA,NA
"PE","PFTC5","AVH1607",2020,"March","2020-03-12","ACJ","C",3,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",3,3.3,1,NA,0.104,0.277,0.307,0.299,0.0284,1,2.817,0.104,0.0284,2.817,99.1901408450704,0.273076923076923,0.294333333333333,NA,NA,NA
"PE","PFTC5","AUN0427",2020,"March","2020-03-12","ACJ","C",4,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,8,1,NA,0.237,0.33,0.279,0.277,0.0662,3,5.683,0.237,0.0662,5.683,85.8459214501511,0.279324894514768,0.295333333333333,NA,NA,NA
"PE","PFTC5","AVK6985",2020,"March","2020-03-12","ACJ","C",3,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",3,3.3,3,NA,0.056,0.329,0.309,0.295,0.018,1,1.992,0.0186666666666667,0.006,0.664,110.666666666667,0.321428571428571,0.311,NA,NA,NA
"PE","PFTC5","AVL7448",2020,"March","2020-03-12","ACJ","C",3,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",3,3.3,4,NA,0.02,0.267,0.255,NA,0.068,1,1.066,0.005,0.017,0.2665,15.6764705882353,3.4,0.261,NA,NA,NA
"PE","PFTC5","AVI3231",2020,"March","2020-03-12","ACJ","C",3,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",3,3.3,2,NA,0.133,0.322,0.285,0.278,0.035,1,3.494,0.0665,0.0175,1.747,99.8285714285714,0.263157894736842,0.295,NA,NA,NA
"PE","PFTC5","AAV4547",2020,"March","2020-03-12","ACJ","C",2,"Forb","Asteraceae","Hieracium cf. mandonii","Hieracium","cf. mandonii",1,8.3,NA,NA,0.187,0.372,0.331,0.353,0.0363,1,5.438,NA,NA,NA,NA,NA,0.352,NA,NA,NA
"PE","PFTC5","AAO3522",2020,"March","2020-03-12","ACJ","C",2,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,22.5,2,NA,0.056,0.296,0.325,0.28,0.0147,1,1.937,0.028,0.00735,0.9685,131.768707482993,0.2625,0.300333333333333,NA,NA,NA
