"","taxon","mean_LA_cm2","mean_LDMC","mean_SLA_cm2_g","mean_LA_mm2","mean_LDMC_pc","mean__SLA_mm2_mg"
"75","Polypogon NA",0.826837534070867,0.41946000800572,118.868414453005,82.6837534070867,41.946000800572,11.8868414453005
"76","Pterichis sp1",4.93222857142857,0.123135169817978,184.504604033533,493.222857142857,12.3135169817978,18.4504604033533
"77","Rhynchospora macrochaeta",11.4453284136546,0.457392660704227,70.5031342889897,1144.53284136546,45.7392660704227,7.05031342889897
"78","Senecio burkartii",18.11774,0.297825407678423,68.8343266927746,1811.774,29.7825407678423,6.88343266927746
"79","Senecio rhizomatus",6.83436333333333,0.228595254468462,171.467159211413,683.436333333333,22.8595254468462,17.1467159211413
"80","Sisyrinchium vaginatum",6.302225,0.288482294589328,246.017855168601,630.2225,28.8482294589328,24.6017855168601
"81","Trichophorum rigidum",0.694585714285714,0.535465230877708,44.3931136138958,69.4585714285714,53.5465230877708,4.43931136138958
"82","Vaccinium floribundum",0.66998542777398,0.459940192228498,60.9894422307137,66.998542777398,45.9940192228498,6.09894422307137
"83","Viola pygmaea",1.95753,0.210214301383741,66.9257577423068,195.753,21.0214301383741,6.69257577423068
"84","Werneria nubigena",6.855388,0.227639257758435,82.2612487171148,685.5388,22.7639257758435,8.22612487171147
"85","Werneria villosa",0.245650034965035,0.321678036823148,91.7338987163436,24.5650034965035,32.1678036823148,9.17338987163436
