site,year,month,day,plot,name,real_species_name,Cover,fertile,seedling,observer,comment,habit,sampled,,, 
QUE,2020,3,12,BB1,Acaena_cylindristachya,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Bidens_triplinervia,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Bromus_lanatus,,1,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Euphorbia_huanchahana,,1,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Festuca_sp3,,,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Galium_corymbosum,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Hieracium_cf_mandonii,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Festuca_sp4,,2,1,,"LVB, VV",Black and sharp,,0,,,
QUE,2020,3,12,BB1,Pterichis_sp1,,+,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Vaccinium_floribundum,,1,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Poa_spicigera,,2,0,,"LVB, VV",Not sure if this is the correct name. On form it looks like 'spialena' ,,1,,,
QUE,2020,3,12,BB2,Agrostis_trichoides,,1,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB2,Agrostis_breviculmis,,2,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB2,Poa_sp2,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Antennaria_linearifolia,,6,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB2,Aphanactis_villosa,,1,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Baccharis_caespitosa,,4,0,,"LVB, VV",Calamagrostis beauty,,1,,,
QUE,2020,3,12,BB2,Belonanthus_hispidus,,1,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB2,Bromus_lanatus,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Festuca_cf_andina,,1,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB2,Calamagrostis_rigida,,5,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB2,Festuca_sp4,,3,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Calamagrostis_sp7,,20,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB2,Carex_pichinchensis,,20,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB2,Hypochaeris_taraxacoides,,4,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB2,Luzula_racemosa,,3,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB2,Poa_spicigera,,1,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Oritrophium_hieracioides,,6,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB2,Oxalis_oreocharis,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Perezia_pungens,,1,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Pernettya_prostrata,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Agrostis_foliata,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Viola_pymaea,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Werneria_villosa,,1,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Lachemilla_jamesonii,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Carex_pygmaea,,3,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB2,Euphorbia_huanchahana,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Gentiana_sedifolia,,0,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Geranium_filipes,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Oreobolus_sp1,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Vaccinium_floribundum,,4,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB2,Werneria_nubigena,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Pterichis_sp1,,+,0,,"LVB, VV",Black and sharp,,0,,,
QUE,2020,3,12,BB2,Carex_boliviensis,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB2,Festuca_3_sharp,,3,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB2,Gamochaeta_coarctata,,+,0,,"LVB, VV",Not sure if this is the correct name. On form it looks like 'spialena' ,,0,,,
QUE,2020,3,12,BB3,Antennaria_linearifolia,,3,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB3,Aphanactis_villosa,,4,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB3,Baccharis_caespitosa,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Belonanthus_hispidus,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Carex_pichinchensis,,15,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB3,Carex_pygmaea,,5,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB3,Euphorbia_huanchahana,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Gentiana_sedifolia,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Geranium_filipes,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Hypericum_andinum,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Luzula_racemosa,,1,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB3,Lysipomia_glanulifera,,+,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Poa_spicigera,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Calamagrostis_tarmensis,,25,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Oreithales_integrifolia,,5,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB3,Oritrophium_hieracioides,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Pernettya_prostrata,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Agrostis_foliata,,2,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Vaccinium_floribundum,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Werneria_nubigena,,1,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB3,Acaena_cylindristachya,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Lachemilla_cf_vulcanica,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Bromus_lanatus,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Calamagrostis_sp8,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Poa_sp2,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Calamagrostis_sp7,,4,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Gaultheria_glomerata,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Oreobolus_sp1,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Carex_sp7,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Agrostis_breviculmis,,1,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Bartsia_inaequalis,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB3,Oxalis_oreocharis,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Poa_sp2,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Antennaria_linearifolia,,1,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB4,Bromus_lanatus,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Calamagrostis_sp7,,2,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Carex_pichinchensis,,1,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB4,Carex_pygmaea,,25,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB4,Gentiana_sedifolia,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Geranium_filipes,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Hypericum_andinum,,+,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB4,Hypochaeris_taraxacoides,,2,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB4,Luzula_racemosa,,2,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB4,Poa_spicigera,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Calamagrostis_rigida,,5,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Oritrophium_hieracioides,,1,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB4,Oxalis_oreocharis,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Agrostis_foliata,,1,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Rhynchospora_macrochaeta,,8,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB4,Werneria_nubigena,,1,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB4,Werneria_villosa,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Agrostis_breviculmis,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Lachemilla_cf_vulcanica,,+,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Lachemilla_jamesonii,,+,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Baccharis_caespitosa,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Bartsia_inaequalis,,+,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Pernettya_prostrata,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Azorella_biloba,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Belonanthus_hispidus,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Euphorbia_huanchahana,,1,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB4,Gamochaeta_coarctata,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Huperzia_weberbaueri,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Trifolium_amabile,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB4,Carex_boliviensis,,5,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB4,Calamagrostis_tarmensis,,10,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Agrostis_trichoides,,+,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Antennaria_linearifolia,,1,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Aphanactis_villosa,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Baccharis_caespitosa,,1,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Gamochaeta_coarctata,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Bromus_lanatus,,+,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Anatherostipa hans-meyeri,,10,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Carex_pichinchensis,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Carex_pygmaea,,1,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Euphorbia_huanchahana,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Galium_corymbosum,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Gaultheria_glomerata,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Gentiana_sedifolia,,+,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Gentianella_ernestii,,2,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Huperzia_weberbaueri,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Hypericum_andinum,,4,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Hypochaeris_taraxacoides,,4,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Luzula_racemosa,,2,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Lysipomia_glanulifera,,+,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Poa_spicigera,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Calamagrostis_tarmensis,,10,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Calamagrostis_rigida,,5,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Oritrophium_hieracioides,,1,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Oreobolus_sp1,,1,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Paspalum_bonplandianum,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Pernettya_prostrata,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Agrostis_foliata,,2,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Vaccinium_floribundum,,10,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Viola_pymaea,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Werneria_nubigena,,2,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Lachemilla_cf_vulcanica,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Calamagrostis_sp7,,2,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Geranium_filipes,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Oreithales_integrifolia,,8,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB5,Bartsia_inaequalis,,+,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Carex_sp7,,0,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB5,Pterichis_sp1,,0,0,,"LVB, VV",,,0,,,
